;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
51;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Low;Very Low;Enrolled
52;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Enrolled
53;Ciencias Agrarias;Yes;Satisfactory;No;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
54;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Dropout
55;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
56;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Failure;High;Low;Medium;Dropout
57;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Dropout
58;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Low;Low;Very Low;Graduate
59;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Enrolled
60;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Graduate
61;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
62;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;Medium;Medium;Medium;Enrolled
63;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
64;Diseno;Yes;Low Failure;No;Yes;No;Very Low;Failure;High;High;Low;Enrolled
65;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
66;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;Medium;Medium;Medium;Graduate
67;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Graduate
68;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
69;Ciencias Sociales;Yes;Satisfactory;No;Yes;No;Very Low;Low Failure;High;High;Low;Enrolled
70;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Failure;Low;Medium;Medium;Enrolled
71;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
72;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
73;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
74;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
75;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Dropout
76;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Low;Low Failure;Low;Low;Very Low;Dropout
77;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Medium;High;Graduate
78;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;Superior;Low;Low;Graduate
79;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Medium;Medium;Medium;Graduate
80;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Dropout
81;Ciencias Exactas;No;Basic;Yes;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
82;Ciencias Agrarias;Yes;Satisfactory;No;Yes;No;Medium Low;Basic;High;Low;Medium;Dropout
83;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Low Failure;High;High;Low;Enrolled
84;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Graduate
85;Ciencias de la Salud;Yes;Satisfactory;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
86;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Low;Low;Very Low;Graduate
87;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
88;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Enrolled
89;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Low;Failure;Superior;Medium;Very Low;Enrolled
90;Ciencias de la Salud;Yes;Basic;No;Yes;No;Medium Low;Failure;High;Low;Medium;Dropout
91;Ciencias Sociales;Yes;Basic;Yes;No;No;Very Low;Basic;Low;Medium;High;Graduate
92;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Low Failure;Low;Medium;High;Dropout
93;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;Medium;Dropout
94;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;High;High;Low;Graduate
95;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Enrolled
96;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
97;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
98;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;High;High;Low;Enrolled
99;Ciencias de la Salud;Yes;Low Failure;Yes;No;No;Low;Low Failure;High;Low;Medium;Dropout
100;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;High;Dropout
101;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Low;Low;Graduate
102;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
103;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium Low;Satisfactory;Superior;Medium;Very Low;Graduate
104;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
105;Diseno;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
106;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
107;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Dropout
108;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Low;Basic;High;Low;Medium;Dropout
109;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Enrolled
110;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
111;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Medium;High;Enrolled
112;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
113;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
114;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Dropout
115;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
116;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Failure;Low;Medium;Medium;Enrolled
117;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
118;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
119;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
120;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Dropout
121;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Graduate
122;Diseno;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
123;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Basic;Low;Low;Very Low;Graduate
124;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
125;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Dropout
126;Ciencias de la Salud;Yes;Satisfactory;Yes;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
127;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Enrolled
128;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
129;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
130;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Dropout
131;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
132;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
133;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Dropout
134;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
135;Diseno;Yes;Basic;No;No;Yes;Very Low;Low Failure;High;Low;Medium;Dropout
136;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
137;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;Low;Medium;High;Graduate
138;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Enrolled
139;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Low;Superior;High;Low;Medium;Graduate
140;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
141;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
142;Ciencias Exactas;Yes;Low Failure;Yes;No;No;Low;Failure;Low;Medium;High;Enrolled
143;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
144;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
145;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Low;Very Low;Graduate
146;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
147;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
148;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
149;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
150;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Enrolled
151;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
152;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Enrolled
153;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
154;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Dropout
155;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
156;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
157;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;High;Low;Graduate
158;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
159;Ciencias Sociales;No;Basic;No;Yes;Yes;Low;Low Failure;Medium;Low;High;Graduate
160;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Medium;Medium;Dropout
161;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
162;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
163;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Dropout
164;Diseno;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
165;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Medium;Very Low;Graduate
166;Ciencias Agrarias;Yes;Satisfactory;No;Yes;No;Very Low;Failure;Low;Medium;High;Enrolled
167;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
168;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Satisfactory;High;High;Low;Graduate
169;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
170;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;High;Low;Enrolled
171;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
172;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Graduate
173;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
174;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Low Failure;Medium;Low;High;Dropout
175;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;Low;Medium;Medium;Enrolled
176;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;Medium;Graduate
177;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
178;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Dropout
179;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Satisfactory;Superior;Low;Low;Dropout
180;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Medium Low;Basic;High;Low;Medium;Graduate
181;Ciencias Exactas;No;Basic;No;Yes;Yes;Very Low;Basic;Low;Low;Very Low;Enrolled
182;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Low Failure;Medium;Low;High;Dropout
183;Diseno;Yes;Basic;Yes;No;No;Very Low;Basic;Superior;Medium;Very Low;Dropout
184;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
185;Ciencias Exactas;Yes;Basic;Yes;No;No;Low;Failure;Medium;Medium;Medium;Dropout
186;Ciencias Sociales;Yes;Basic;No;No;No;Medium Low;Low Failure;Low;Low;Very Low;Enrolled
187;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Medium;Medium;Graduate
188;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;High;Dropout
189;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Superior;Low;Low;Graduate
190;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
191;Ciencias Sociales;No;Basic;No;Yes;No;Low;Failure;Low;Low;Very Low;Enrolled
192;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
193;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
194;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
195;Ciencias Exactas;No;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;High;Dropout
196;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
197;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
198;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
199;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Low Failure;Medium;Low;High;Enrolled
200;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
201;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
202;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
203;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
204;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Low;Low;Graduate
205;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
206;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
207;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
208;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
209;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Low;Low;Dropout
210;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;High;Low;Graduate
211;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Basic;Low;Medium;Medium;Graduate
212;Ciencias Agrarias;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;High;Low;Medium;Graduate
213;Ciencias Exactas;No;Basic;No;Yes;Yes;Very Low;Failure;Superior;Low;Low;Dropout
214;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
215;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Enrolled
216;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
217;Ciencias Sociales;No;Basic;Yes;Yes;No;Low;Failure;Low;Low;Very Low;Dropout
218;Ciencias Sociales;No;Basic;No;Yes;Yes;Medium Low;Failure;Low;Medium;High;Dropout
219;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
220;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Basic;Low;Low;Very Low;Graduate
221;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
222;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Dropout
223;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
224;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Low;Low;Graduate
225;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
226;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Low Failure;High;Low;Medium;Graduate
227;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Medium;Low;High;Graduate
228;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
229;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;High;Low;Graduate
230;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
231;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
232;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
233;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Graduate
234;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
235;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
236;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
237;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Graduate
238;Ciencias Agrarias;Yes;Basic;Yes;No;No;Low;Basic;Low;Low;Very Low;Dropout
239;Ciencias de la Salud;Yes;Basic;No;No;No;Low;Low Failure;Superior;Low;Low;Dropout
240;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Enrolled
241;Diseno;Yes;Basic;Yes;Yes;No;Medium Low;Basic;High;Low;Medium;Enrolled
242;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
243;Ciencias Exactas;Yes;Basic;No;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
244;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Low;Basic;Low;Medium;High;Graduate
245;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
246;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
247;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Basic;High;Low;Medium;Dropout
248;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
249;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
250;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Enrolled
251;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Low;Medium;High;Dropout
252;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
253;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
254;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;High;Graduate
255;Ciencias de la Salud;Yes;Basic;Yes;No;Yes;Low;Satisfactory;Low;Medium;High;Dropout
256;Ciencias Exactas;No;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Graduate
257;Diseno;Yes;Low Failure;No;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Enrolled
258;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
